Year-Month,date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm10,pm25,aqs,date_only
2012-01,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-02,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-03,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-04,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-05,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-06,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-07,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-08,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-09,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-10,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-11,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2012-12,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-01,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-02,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-03,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-04,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-05,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-06,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-07,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-08,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-09,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-10,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-11,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2013-12,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2014-01,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2014-02,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2014-03,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
2014-04,0.0,12.916666666666668,4.583333333333333,29.305555555555557,28.888888888888886,4.027777777777778,8.055555555555555,11.25,11.25,11.25,11.25,100.0,100.0,0.0,0.0
2014-05,0.0,36.96236559139785,17.20430107526882,15.188172043010754,15.32258064516129,15.32258064516129,18.951612903225808,18.951612903225808,18.951612903225808,18.951612903225808,18.951612903225808,100.0,100.0,0.0,0.0
2014-06,0.0,15.972222222222221,1.6666666666666667,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.583333333333333,100.0,100.0,0.0,0.0
2014-07,0.0,7.123655913978495,0.5376344086021506,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,100.0,0.0,0.0
2014-08,0.0,0.4032258064516129,0.4032258064516129,0.2688172043010753,0.2688172043010753,0.4032258064516129,4.56989247311828,4.704301075268817,4.704301075268817,4.704301075268817,4.56989247311828,100.0,90.45698924731182,0.0,0.0
2014-09,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.444444444444445,100.0,0.0,0.0,0.0
2014-10,0.0,0.6720430107526881,0.6720430107526881,0.4032258064516129,0.4032258064516129,0.6720430107526881,4.838709677419355,4.838709677419355,4.838709677419355,4.838709677419355,4.838709677419355,100.0,2.6881720430107525,0.0,0.0
2014-11,0.0,0.5555555555555556,0.5555555555555556,0.4166666666666667,0.4166666666666667,0.5555555555555556,4.722222222222222,4.861111111111112,4.861111111111112,4.861111111111112,4.861111111111112,100.0,3.194444444444444,0.0,0.0
2014-12,0.0,2.82258064516129,2.28494623655914,2.1505376344086025,2.1505376344086025,2.1505376344086025,6.451612903225806,6.317204301075269,6.317204301075269,6.317204301075269,6.451612903225806,100.0,4.704301075268817,0.0,0.0
2015-01,0.0,0.8064516129032258,0.6720430107526881,0.8064516129032258,0.8064516129032258,0.6720430107526881,4.973118279569892,4.973118279569892,4.973118279569892,4.973118279569892,4.838709677419355,100.0,2.28494623655914,0.0,0.0
2015-02,0.0,3.422619047619048,1.636904761904762,0.1488095238095238,0.1488095238095238,0.1488095238095238,4.315476190476191,4.315476190476191,4.315476190476191,4.315476190476191,4.315476190476191,100.0,0.1488095238095238,0.0,0.0
2015-03,0.0,99.86559139784946,99.86559139784946,5.376344086021505,5.376344086021505,5.376344086021505,11.29032258064516,22.177419354838708,22.177419354838708,22.177419354838708,11.827956989247312,100.0,91.26344086021506,0.0,0.0
2015-04,0.0,100.0,100.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,4.444444444444445,4.722222222222222,4.722222222222222,4.722222222222222,9.166666666666666,100.0,1.25,0.0,0.0
2015-05,0.0,25.537634408602152,25.537634408602152,0.9408602150537635,0.9408602150537635,1.0752688172043012,5.241935483870968,5.376344086021505,5.376344086021505,5.376344086021505,6.048387096774194,100.0,35.483870967741936,0.0,0.0
2015-06,0.0,1.5277777777777777,1.5277777777777777,1.25,1.25,1.5277777777777777,5.694444444444445,8.472222222222223,8.472222222222223,8.472222222222223,5.555555555555555,100.0,1.5277777777777777,0.0,0.0
2015-07,0.0,2.0161290322580645,2.0161290322580645,1.6129032258064515,1.6129032258064515,2.0161290322580645,6.048387096774194,6.182795698924731,6.182795698924731,6.182795698924731,6.048387096774194,100.0,2.0161290322580645,0.0,0.0
2015-08,0.0,1.0752688172043012,1.0752688172043012,0.9408602150537635,0.9408602150537635,1.0752688172043012,5.913978494623656,6.048387096774194,6.048387096774194,6.048387096774194,7.526881720430108,100.0,1.0752688172043012,0.0,0.0
2015-09,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,5.138888888888888,5.138888888888888,5.138888888888888,5.138888888888888,5.0,100.0,0.6944444444444444,0.0,0.0
2015-10,0.0,1.478494623655914,1.478494623655914,1.478494623655914,1.478494623655914,1.478494623655914,5.510752688172043,11.827956989247312,11.827956989247312,11.827956989247312,5.510752688172043,100.0,1.478494623655914,0.0,0.0
2015-11,0.0,2.5,2.5,2.361111111111111,2.361111111111111,2.5,6.527777777777779,8.472222222222223,8.472222222222223,8.472222222222223,6.527777777777779,100.0,3.888888888888889,0.0,0.0
