date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm25,date_only,year_month,formatted_year_month
2015-04-01,,,1.0,108.0,925.9,28.0,0.0,24.0,24.0,0.6,9.0,2015-04-01,2015-04,Apr-15
2015-04-02,,,1.6,117.0,928.1,29.0,1.0,17.0,17.0,0.6,25.0,2015-04-02,2015-04,Apr-15
2015-04-03,,,1.1,127.0,927.7,18.0,2.0,21.0,21.0,0.4,26.0,2015-04-03,2015-04,Apr-15
2015-04-04,,,1.3,106.0,925.4,35.0,0.0,9.0,9.0,0.3,14.0,2015-04-04,2015-04,Apr-15
2015-04-05,,,0.0,777.0,922.8,29.0,1.0,30.0,30.0,0.6,22.0,2015-04-05,2015-04,Apr-15
2015-04-06,,,2.0,309.0,918.7,34.0,0.0,9.0,9.0,0.3,2.0,2015-04-06,2015-04,Apr-15
2015-04-07,,,1.9,139.0,924.4,37.0,1.0,11.0,11.0,0.2,1.0,2015-04-07,2015-04,Apr-15
2015-04-08,,,1.2,108.0,928.0,27.0,1.0,14.0,14.0,0.3,5.0,2015-04-08,2015-04,Apr-15
2015-04-09,,,1.2,113.0,928.2,20.0,2.0,17.0,17.0,0.4,33.0,2015-04-09,2015-04,Apr-15
2015-04-10,,,1.1,108.0,929.6,47.0,0.0,14.0,14.0,0.3,22.0,2015-04-10,2015-04,Apr-15
2015-04-11,,,0.8,113.0,929.1,29.0,1.0,26.0,26.0,0.6,27.0,2015-04-11,2015-04,Apr-15
2015-04-12,,,0.0,777.0,927.5,20.0,0.0,46.0,46.0,1.2,51.0,2015-04-12,2015-04,Apr-15
2015-04-13,,,1.2,109.0,928.1,49.0,0.0,19.0,19.0,0.7,23.0,2015-04-13,2015-04,Apr-15
2015-04-14,,,1.3,122.0,928.2,50.0,1.0,14.0,14.0,,19.0,2015-04-14,2015-04,Apr-15
2015-04-15,,,0.0,777.0,926.7,26.0,0.0,43.0,43.0,,33.0,2015-04-15,2015-04,Apr-15
2015-04-16,,,0.0,777.0,924.8,0.0,24.0,54.0,54.0,1.1,27.0,2015-04-16,2015-04,Apr-15
2015-04-17,,,0.9,115.0,927.2,32.0,0.0,18.0,18.0,0.5,29.0,2015-04-17,2015-04,Apr-15
2015-04-18,,,0.0,777.0,925.8,18.0,0.0,21.0,21.0,0.6,15.0,2015-04-18,2015-04,Apr-15
2015-04-19,,,0.0,777.0,924.7,41.0,0.0,27.0,27.0,1.0,19.0,2015-04-19,2015-04,Apr-15
2015-04-20,,,0.0,777.0,925.6,6.0,2.0,43.0,43.0,0.8,15.0,2015-04-20,2015-04,Apr-15
2015-04-21,,,0.8,319.0,923.5,1.0,43.0,70.0,70.0,1.6,21.0,2015-04-21,2015-04,Apr-15
2015-04-22,,,1.0,119.0,925.6,32.0,0.0,9.0,9.0,0.3,1.0,2015-04-22,2015-04,Apr-15
2015-04-23,,,1.4,102.0,927.0,19.0,2.0,11.0,11.0,0.3,5.0,2015-04-23,2015-04,Apr-15
2015-04-24,,,0.0,777.0,927.3,5.0,5.0,35.0,35.0,0.7,12.0,2015-04-24,2015-04,Apr-15
2015-04-25,,,1.0,159.0,928.2,16.0,2.0,27.0,27.0,0.4,11.0,2015-04-25,2015-04,Apr-15
2015-04-26,,,2.3,124.0,929.1,41.0,1.0,2.0,2.0,0.3,5.0,2015-04-26,2015-04,Apr-15
2015-04-27,,,1.6,114.0,929.4,30.0,1.0,9.0,9.0,0.3,4.0,2015-04-27,2015-04,Apr-15
2015-04-28,,,1.1,110.0,927.3,23.0,1.0,18.0,18.0,0.4,17.0,2015-04-28,2015-04,Apr-15
2015-04-29,,,1.5,119.0,926.9,52.0,0.0,10.0,10.0,0.2,4.0,2015-04-29,2015-04,Apr-15
2015-04-30,,,1.7,120.0,928.4,34.0,1.0,13.0,13.0,0.3,2.0,2015-04-30,2015-04,Apr-15
2017-08-01,15.0,63.0,0.9,112.0,930.5,28.0,2.0,55.0,55.0,0.6,24.0,2017-08-01,2017-08,Aug-17
2017-08-02,17.5,52.0,0.7,85.0,928.7,10.0,82.0,105.0,105.0,1.8,27.0,2017-08-02,2017-08,Aug-17
2017-08-03,19.2,,1.0,315.0,926.4,10.0,50.0,102.0,102.0,1.2,30.0,2017-08-03,2017-08,Aug-17
2017-08-04,,,0.9,137.0,927.8,43.0,0.0,40.0,40.0,0.4,3.0,2017-08-04,2017-08,Aug-17
2017-08-05,,100.0,2.4,137.0,932.6,68.0,1.0,14.0,14.0,0.2,0.0,2017-08-05,2017-08,Aug-17
2017-08-06,12.1,,2.2,121.0,932.6,69.0,0.0,14.0,14.0,0.3,15.0,2017-08-06,2017-08,Aug-17
2017-08-07,11.7,93.0,1.1,108.0,930.6,37.0,1.0,29.0,29.0,0.4,7.0,2017-08-07,2017-08,Aug-17
2017-08-08,,,1.2,293.0,926.4,14.0,6.0,77.0,77.0,0.7,33.0,2017-08-08,2017-08,Aug-17
2017-08-09,,,1.2,111.0,925.9,8.0,78.0,138.0,138.0,2.1,55.0,2017-08-09,2017-08,Aug-17
2017-08-10,16.6,,1.7,133.0,927.5,64.0,0.0,30.0,30.0,0.3,9.0,2017-08-10,2017-08,Aug-17
2017-08-11,,,1.7,120.0,930.6,63.0,1.0,19.0,19.0,0.3,16.0,2017-08-11,2017-08,Aug-17
2017-08-12,,,1.6,117.0,929.1,56.0,0.0,15.0,15.0,0.3,13.0,2017-08-12,2017-08,Aug-17
2017-08-13,,,1.4,296.0,927.2,29.0,1.0,45.0,45.0,0.6,25.0,2017-08-13,2017-08,Aug-17
2017-08-14,,,0.9,41.0,925.5,25.0,2.0,58.0,58.0,0.9,37.0,2017-08-14,2017-08,Aug-17
2017-08-15,,,2.1,129.0,929.0,64.0,0.0,16.0,16.0,0.2,10.0,2017-08-15,2017-08,Aug-17
2017-08-16,,98.0,1.3,149.0,928.3,29.0,2.0,32.0,32.0,0.4,11.0,2017-08-16,2017-08,Aug-17
2017-08-17,,,1.3,127.0,928.3,35.0,2.0,31.0,31.0,0.4,8.0,2017-08-17,2017-08,Aug-17
2017-08-18,,100.0,1.4,122.0,928.6,42.0,1.0,29.0,29.0,0.3,14.0,2017-08-18,2017-08,Aug-17
2017-08-19,,,0.7,123.0,926.7,12.0,19.0,44.0,44.0,0.8,18.0,2017-08-19,2017-08,Aug-17
2017-08-20,16.3,100.0,1.4,293.0,924.1,25.0,1.0,31.0,31.0,0.5,6.0,2017-08-20,2017-08,Aug-17
2017-08-21,14.3,100.0,1.9,148.0,929.5,60.0,0.0,14.0,14.0,0.2,3.0,2017-08-21,2017-08,Aug-17
2017-08-22,11.0,97.0,3.4,125.0,937.0,83.0,1.0,7.0,7.0,0.1,3.0,2017-08-22,2017-08,Aug-17
2017-08-23,14.1,92.0,1.0,221.0,932.8,41.0,,,,0.3,12.0,2017-08-23,2017-08,Aug-17
2017-08-24,14.6,100.0,1.4,124.0,931.8,37.0,,,,0.3,22.0,2017-08-24,2017-08,Aug-17
2017-08-25,14.5,96.0,0.8,295.0,930.6,4.0,5.0,48.0,48.0,0.6,23.0,2017-08-25,2017-08,Aug-17
2017-08-26,14.3,96.0,1.2,120.0,930.4,11.0,4.0,46.0,46.0,0.5,67.0,2017-08-26,2017-08,Aug-17
2017-08-27,16.6,67.0,0.6,92.0,928.4,2.0,24.0,66.0,66.0,1.3,25.0,2017-08-27,2017-08,Aug-17
2017-08-28,15.1,95.0,0.6,888.0,928.1,4.0,8.0,67.0,67.0,0.7,33.0,2017-08-28,2017-08,Aug-17
2017-08-29,14.3,92.0,1.6,128.0,928.8,62.0,0.0,24.0,24.0,0.3,32.0,2017-08-29,2017-08,Aug-17
2017-08-30,16.7,96.0,0.0,777.0,927.5,1.0,66.0,80.0,80.0,1.2,43.0,2017-08-30,2017-08,Aug-17
2017-08-31,19.8,80.0,2.3,133.0,928.3,31.0,15.0,68.0,68.0,0.6,45.0,2017-08-31,2017-08,Aug-17
2017-09-01,,97.0,2.9,123.0,934.0,51.0,0.0,10.0,10.0,0.2,13.0,2017-09-01,2017-09,Sep-17
2017-09-02,,,1.9,122.0,935.1,34.0,1.0,20.0,20.0,0.3,12.0,2017-09-02,2017-09,Sep-17
2017-09-03,,,1.1,110.0,934.0,43.0,0.0,26.0,26.0,0.4,20.0,2017-09-03,2017-09,Sep-17
2017-09-04,,,0.7,93.0,931.8,2.0,16.0,62.0,62.0,1.0,44.0,2017-09-04,2017-09,Sep-17
2017-09-05,,,0.0,777.0,929.6,1.0,60.0,92.0,92.0,1.6,40.0,2017-09-05,2017-09,Sep-17
2017-09-06,,,0.7,93.0,929.8,4.0,80.0,131.0,131.0,2.0,39.0,2017-09-06,2017-09,Sep-17
2017-09-07,,,1.7,118.0,930.9,56.0,0.0,26.0,26.0,0.4,33.0,2017-09-07,2017-09,Sep-17
